Pattern,issue,output,2_examples,4_examples,6_examples,8_examples,10_examples
PS_ONLY,""""""" I noticed my old word2vec files stopped working, so I made some new ones,  using the writeFullModel function. But it seems the only thing it stores are the vectors, not the words? and loadFullModel also can't load the file the fitted model in the memory works fine, it seems saving it is where the problem is. Should I use writeFullModel, or should I save it in a different way? """"""","The sentence """""" But it seems the only thing it stores are the vectors, not the words? """""" uses <pattern>the only thing it VBZ</pattern> to describe the limitation of ""writeFullModel function"".  The answer is YES.",1,0,0,0,1
PS_PROBLEM,""""""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES.",0,0,0,1,1
PS_NEG_VERB,""""""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES.",0,0,1,0,1
PS_PROBLEM_IS,""""""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself Probably because php-cli is not running a daemon """"""","The sentence """""" But the problem is that my container exits by itself Probably because php-cli is not running a daemon """""" uses <pattern>the problem is that</pattern> to indicate that ""container exits by itself"" is an undesired behavior. The answer is YES.",0,0,0,1,0
PS_NEG_AUX_ADV_ADJ,""""""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""data variable"". The answer is YES.",0,0,1,0,0
PS_SEEMS_TO_NEG_VERB,""""""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1), didn't find anything searching through the issue tracker. Here is a gist of the principle [<-LINK->] """"""","The sentence """""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1) """""" uses <pattern>doesn't seem to VB</pattern> to indicate that there is something wrong when ""trying to type-guard"". The answer is YES.",0,1,0,1,0
PS_NEG_ADV_ADJ,""""""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES.",0,0,0,1,0
PS_VERB_ERROR,""""""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES.",0,0,0,0,1
PS_NEG_AUX_VERB,""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES.",0,0,0,0,1
PS_VERB_NO,""""""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""","The sentence """""" tried using this tool [link], but it reports no circular dependencies """""" uses <pattern>reports no JJ NNS</pattern> to indicate that there is something wrong with ""this tool"". The answer is YES.",0,1,1,0,0
