issue,output
""""""" Hi guys, i have a question. I spent more the 4 hrs seraching but nothing. Image this scenario:  how can i get the values of the routes params :id and :name in the UserComponent scope? nop router 2.0.0 rc.1 """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hi all, I have a list of Pair<String, Label> and the Google News Wordvecs, and I'd like to turn my first into a DatasetIterator in order to train a neural net - how would I go about that? I've looked at using a RecordReader but I can't find the right one for my use case. """"""","The sentence """""" I've looked at using a RecordReader but I can't find the right one for my use case. """""" uses <pattern>can't find sth.</pattern> to indicate that the user is having trouble in finding a right ""RecordReader"". The answer is YES."
""""""" hi there. I am trying to use [<-LINK->] in my node js app. here is my app.js [<-LINK->]. i am using bable node server. In my routes, when I try to get req.fingerprint, I am getting undefined. Can anyone please help me out roychri: , It didn't show any error. It just prints as undefined roychri: , so you want me to put it on top? """"""","The sentence """""" In my routes, when I try to get req.fingerprint, I am getting undefined. """""" uses an undesired adjective <pattern>undefined</pattern> to indicate that the user is encountering a program error when the user is trying to ""get req.fingerprint"". The answer is YES."
""""""" Hi folks... I'm still struggling with making a custom form input.   @mlc-mlapis was kind enough to help me a few days ago and answered just the question I asked, as well as gave me a great tip that I should be reading about Control Value Accessor. So, I did that, and I'm now trying to implement my custom form control as using CVA. I  Sadly, it's still not working 100%. The issue comes up when trying to perform validation on the custom control. I have a full [example over on stackblitz], with instructions for how to reproduce the issue I'm having.   One more piece of advice I got from @mlc-mlapis  was to implement getters/setters on my `@Input` directives. I have not implemented that as of yet, and maybe that's the problem? I don't know how it would be, but what do I know?  Probably the most helpful article I've found so far on implementing Control Value Accessor is [this one] from Max Koretskyi over on indepth.dev. I'd welcome any other input on how to make this work.   I guess the good thing is that I'm learning a bunch along the way in trying to write this dumb little custom form control. It's just a bit of a painful learning curve. <unconvertable> """"""","The sentence """""" I'm still struggling with making a custom form input. """""" uses <pattern>struggling with VBG</pattern> to indicate that there is something wrong with ""making a custom form input"". The answer is YES."
""""""" I just want to make sure I am not simply misunderstanding how to use the DL4J functions.  As far as I can see, the rest of my code is correct, can anyone verify that my logic is correct and that there aren't any other mistakes that could be attributable to the problem besides tuning?  I have had success training a convolutional neural net on MNIST data, but CIFAR seems to be giving me issues.  Here is my code again: [<-LINK->] nyghtowl: Cool, I will experiment with the tuning a little on my own and be sure to post in the tuning channel some time tomorrow. """"""","The sentence """""" but CIFAR seems to be giving me issues """""" uses <pattern>seems to be giving me issues</pattern> to indicate that there is something wrong with ""CIFAR"". The answer is YES."
""""""" I'm sure this has been asked plenty before but..... I am a bit of a Javascript and Angular 1.x novice now looking to move to Angular2, do I go with Typescript or Javascript? taking the steep learning curve from v1 - v2 of course """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" OK.  I'll try a narrower question... how to add HTML to elementRef.nativeElement?  In Attribute Directive, want to add a floating div to the inputbox.  Should I be using Renderer instead of elementRef? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""","The sentence """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? """""" uses an undesired verb phrase <pattern>breaking up sth</pattern> but ""breaking up a medium size component"" is the intention of the user, not the problem which the user is currently encountering, so the answer is NO."
""""""" How do I use custom directives in a form?  For example, I've got an SSN input that'll have three inputs that will be combined into a single value and emitted up to the parent as if it were one form input """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
