name,description
database-connection,"A database connection is a facility that allows client software to communicate with database server software, whether on the same machine or not. A connection is required to send commands and receive answers."
automatic-ref-counting,Automatic Reference Counting (ARC) is a compiler feature that provides automatic memory management of Objective-C and Swift objects.
passwords,Passwords are primarily used as a way of accessing information and also limiting the number of users who can get access to a machine. It is primarily used with a username for the authorization system. Sometimes people use keys instead of passwords due to the increased strength of the keys.
quaternions,"Unit quaternions are a mathematical representation of 3D rotations. They have 4 dimensions (one real and 3 imaginary) and can be represented as follows:
a + i b + j c + k d

or in terms of axis-angles:
q = cos(a/2) + i ( x * sin(a/2)) + j (y * sin(a/2)) + k ( z * sin(a/2))

where:
-  a=angle of rotation.
-  x,y,z = vector representing axis of rotation.
"
packaging,Packaging is a configuration management process involved with capturing the knowledge needed to install or uninstall software on a target system.
socket.io,"Socket.IO aims to make real-time apps possible in every browser and mobile device, blurring the differences between the different transport mechanisms. It supports multiple transports, such as WebSockets, Flash sockets, long polling, and more, automatically falling back when a transport fails."
elm,"Elm is a functional programming language for writing web applications that can fully replace, or interoperate with, HTML/CSS/JavaScript."
menu,A menu is a user interface mechanism that provides the user a means to view and execute application operations. (Generic; please use platform and/or language tags when possible instead)
bootstrap-datepicker,bootstrap-datepicker is a datepicker widget by uxsolutions (eternicode) that uses Twitter&#39;s bootstrap library. (Forked from eyecon) 
aws-cdk,The AWS CDK is an infrastructure modeling framework that allows you to define your cloud resources using an imperative programming interface.
xaml,"Extensible Application Markup Language (XAML) is a declarative XML-based language used for  initializing structured values and objects in various frameworks. When a question is about the usage of XAML with a specific framework a tag for the framework should also be provided e.g. [wpf] (Windows Presentation Foundation),  [silverlight], [windows-phone], [windows-store-apps] (Windows 8 store apps), [win-universal-app], [xamarin.forms] or [workflow-foundation]"
jax-ws,JAX-WS is the JSR 224 defining a Java API for XML-Based Web Services
android-mapview,MapView allows you to create your own Google map-viewing Activity
singly-linked-list,"A linked list in which each node only points to the next node in the list, as opposed to a doubly-linked list in which each node points to both the next and the previous nodes. This tag should be used with additional tags indicating the programming language being used ([c], [c++], [java], etc.) and any libraries or plug-ins being used such as [c++-standard-library]. The post itself should contain source code for the issue."
http-status-code-401,"Similar to 403 Forbidden, but specifically for use when authentication is possible but has failed or not yet been provided. The response must include a WWW-Authenticate header field containing a challenge applicable to the requested resource. "
postgis,"Use this tag for PostGIS, which is a spatial database extension for PostgreSQL.

Before using this tag, please consider whether your question might be a better fit for the Geographic Information Systems Stack Exchange site (e.g. if it&#39;s more about configuration or geodetic principles than about actual programming)."
2d-games,"2D games are drawn in a two-dimensional space using two-dimensional objects. To represent its position, each game object will have an x and a y coordinate."
fragment-shader,A GPU program used in rendering. It is executed for each sample taken from a rasterized primitive. The output of this process is a number of values and a floating-point depth.
npm-install,npm install &lt;packagename&gt; is a command in the npm CLI that searches for and installs a specified package from an npm repository.
collections,Collections APIs provide developers with a set of classes and interfaces that make it easier to handle collections of objects.
spring-security-oauth2,Spring Security&#39;s deprecated implementation of the OAuth2 spec. For OAuth2 with Spring Security 5 use Spring Security tag. We don&#39;t get many questions on OAuth 1(a) but feel free to tag them here.
arangodb,"ArangoDB is a multi-model NoSQL database with a flexible data model for documents, graphs, and key-values collections."
lme4,"lme4 is an R package for fitting and analyzing linear, nonlinear and generalized linear mixed models."
curve,"In mathematics, a curve (also called a curved line in older texts) is, generally speaking, an object similar to a line but which is not required to be straight."
browser-history,Browser history refers to the list of web pages a user has visited recently—and associated data such as page title and time of visit—which is recorded by web browser software as standard for a certain period of time.
scale,The scale tag is mostly used for questions that relate to proportional resizing of images or UI elements. It is also used for questions related to function scale() in R language.
uipopovercontroller,The UIPopoverController class is used to manage the presentation of content in a popover. You use popovers to present information temporarily. The popover content is layered on top of your existing content and the background is dimmed automatically. The popover remains visible until the user taps outside of the popover window or you explicitly dismiss it. Popover controllers are for use exclusively on iPad devices.
openpyxl,Openpyxl is a Python library for reading and writing Excel 2010 xlsx/xlsm/xltx/xltm files.
selenium-chromedriver,"Developed in collaboration with the Chromium team, ChromeDriver is a standalone server which implements WebDriver&#39;s wire protocol."
kotlin,"Kotlin is a high-level programming language developed by JetBrains. Use this tag when you&#39;re having problems with the Kotlin language and standard library. This tag is often used alongside additional tags for the different targets (JVM, JavaScript, native, etc.) and libraries/frameworks (Android, Spring, etc.) used by Kotlin developers, if the question relates specifically to those topics."
command-line-arguments,Programming command line utilities that take parameters.
cdn,A content delivery network or content distribution network (CDN) is a system of computers containing copies of data placed at various nodes of a network.
amazon-ses,Amazon Simple Email Service (Amazon SES) is a highly scalable and cost-effective bulk and transactional email-sending service for businesses and developers.
user-interface,"User Interface (UI) is the system through which people interact with a computer. This tag can be used for UI-related programming questions. Note that there&#39;s a separate Stack Exchange site for User Interfaces, Interactions with the Computer and User Experience design: https://ux.stackexchange.com."
mpdf,"mPDF is a PHP library for generating PDF files from HTML with Unicode/UTF-8 and CJK support. It is distributed under the GNU General Public License. Although it is slower than its protoplast (fpdf library) it supports Unicode characters while fpdf does not.
"
cluster-analysis,"Cluster analysis is the process of grouping &quot;similar&quot; objects into groups known as &quot;clusters&quot;, along with the analysis of these results."
fortran,"Fortran is a general-purpose, procedural, imperative programming language that is especially suited for numeric computation and scientific computing. Since 2003, standard Fortran also supports object-oriented programming.  Fortran 2008 introduced coarrays for SPMD parallel programming. This tag should be applied to all questions about the Fortran language; other specific tags can be added for compilers, language revisions and particular aspects of use."
mpandroidchart,MPAndroidChart is a powerful open-source Android chart view / graph view library. Use this tag if your question is specific to this library.
command-line-interface,"The interface to a program that consists entirely of text, as opposed to (although not necessarily mutually exclusive to) a GUI, or Graphical User Interface."
objectify,"Objectify is a 3rd party Java data access API specifically designed for Google Cloud Datastore in the App Engine Standard runtime. It occupies a &quot;middle ground&quot;; easier to use and more transparent than JDO or JPA, but significantly more convenient than the Low-Level API provided for Cloud Datastore."
nexus,"Nexus is a Repository Manager for Maven, NuGet and other binary artifact repositories. Repository managers serve two purposes: they act as highly configurable proxies between your organization and the public repositories and they also provide an organization with a deployment destination for your internally generated artifacts."
streaming,Streaming is the process of delivering digital multimedia content from a provider to a consumer over a network. The provider may have the data stored or may be relaying it from a live source.
division,"In mathematics, division (&#247;) is an arithmetic elementary operation."
vim-plugin,"The Vim text editor is extensible through plugins, which can be categorized into general utilities, color schemes, file type-specific settings, and syntax definitions."
react-native-flatlist,A performant interface for rendering basic list in React-Native.
fancybox,"FancyBox is a tool that offers a nice and elegant way to add zooming functionality for images, html content and multi-media on your webpages."
operating-system,"An operating System (OS) is a basic software whose role is to be an abstract layer between software requisitions for resources and the hardware available, manage input/output, memory allocation/deallocation, file systems, among other basic tasks a device (not necessarily a computer) should do."
shopify-app,shopify-app is a gem made by Shopify to help in the creation of plugins for their ecommerce platform
pandas,"Pandas is a Python library for data manipulation and analysis, e.g. dataframes, multidimensional time series and cross-sectional datasets commonly found in statistics, experimental science results, econometrics, or finance. Pandas is one of the main data science libraries in Python."
random,"This tag is for questions pertaining to random numbers and their generators, whether pseudo-random or truly random."
fabricjs,"Fabric.js is an HTML5 canvas library, providing an object model for canvases, an SVG-to-canvas renderer and a canvas-to-SVG parser."
ddl,"Data Definition Language is a subset of SQL to manipulate structural elements of a database, not the content of tables. CREATE, DROP, ALTER and related statements."
realm,"Realm is an object-oriented database widely used as an alternative to SQLite &amp; ORMs that includes a built-in device-to-cloud data sync. Realm supports a variety of platforms including Android, iOS, Linux, macOS, and Windows."
alexa-skills-kit,A collection of APIs used for developing new voice-enabled capabilities for Alexa and used in the Amazon Echo and other third party devices.
sql-order-by,An ORDER BY clause in SQL specifies that a SQL SELECT statement returns a result set with the rows being sorted by the values of one or more columns.
ksh,"The KornShell is an open source, POSIX-compatible shell language from AT&amp;T based upon the original Bourne shell. Make sure you know whether your ksh is ksh93 or a clone."
hololens,Applicable for all questions related to development for Microsoft HoloLens devices and the Mixed Reality platform.
curl,"cURL is a library and command-line tool for transferring data using various protocols such as HTTP, FTP and SFTP. The cURL project produces two products, libcurl and curl. This tag covers all usages of cURL, regardless of which cURL product is used."
dao,"A Data Access Object (DAO), is a design pattern in object-oriented software design, creating an object that provides an abstract interface to some type of database or other persistence mechanism."
cout,std::cout is the global stream object provided by the C++ standard library for writing to the standard output stream.
sharepoint-designer,A piece of software for a user to further develop their SharePoint site beyond its basic capabilities by manipulating the design and behavior of the site.
windows-7,"Use for questions about programming with or for Windows 7, a past release of Microsoft Windows. General software or troubleshooting questions not directly related to programming are off topic and should be posted on Super User"
itext7,Library to create and manipulate PDF documents in Java and C#. Use this tag for code using iText version 7 and higher.  Use the &quot;itext&quot; tag for older versions up to 5.5.x. Remember to also add a tag for the language you&#39;re using.
uart,A Universal Asynchronous Receiver/Transmitter (UART) is used for serial (where each bit of data is transmitted along the same connection) communications over a computer or peripheral device serial port.
gpu,"Acronym for &quot;Graphics Processing Unit&quot;. For programming traditional graphical applications, see the tag entry for &quot;graphics programming&quot;. For general-purpose programming using GPUs, see the tag entry for &quot;gpgpu&quot;. For specific GPU programming technologies, see the popular tag entries for &quot;opencl&quot;, &quot;cuda&quot; and &quot;thrust&quot;."
adb,ADB (Android Debug Bridge) is a tool that comes with the Android SDK that allows you to control and interface with your Android device.
netty,An open source asynchronous event-driven network application framework written in Java. It is a NIO client server framework which enables quick and easy development of network applications such as protocol servers and clients
fluentd,"Fluentd is open-source and distributed data collector, which receives logs in JSON format, buffers them, and sends them to other systems like Amazon S3, MongoDB, Hadoop, Loki(Grafana system) or other Fluentds."
logback,Modern logging facility for Java-based programs with many new features when compared to Log4J and java.util.logging.
overlap,Two or more elements overlap when they partially or totally cover one another.
magento-1.9,"E-commerce PHP framework solution, which has a new responsive theme (rwd) in version 1.9"
ionic2,"Ionic 2 is the next generation of Ionic, the open source SDK that enables developers to build performant, high-quality mobile apps using familiar web technologies (HTML, CSS, and JavaScript).

Ionic 2 is usually paired with Angular (2). Ionic 2 can also be used as a CSS framework but you&#39;ll miss out on the powerful gestures, UI animations and more useful things."
fft,"FFT is short for fast Fourier transform, any of a set of algorithms for quickly computing the discrete Fourier transform (DFT)."
rss,"Really Simple Syndication (RSS) is a family of web feed formats used to publish frequently updated works—such as blog entries, news headlines, audio, and video—in a standardized format."
pine-script,Pine Script is a domain-specific language for coding custom technical indicators and strategies on TradingView. Use this tag for questions related to programming in Pine Script. Please do not use the [tradingview-api] tag for Pine-related questions.
autoconf,GNU Autoconf creates a shell script `configure` that is used to configure software for compilation for UNIX-like operating systems.
graph-theory,"A graph is a mathematical structure that contains a collection of vertices or &#39;nodes&#39; and a collection of edges that connect pairs of vertices. Graphs can be undirected or directed, where edges are directed, indicating from which vertex they start and to which they lead ( be it other or the same )."
simpledateformat,"SimpleDateFormat is a concrete Java class for formatting and parsing dates and times in a locale-sensitive manner. It allows for formatting (date -&gt; text), parsing (text -&gt; date), and normalization. "
google-analytics,Google Analytics is a free web analytics solution that uses JavaScript to send data. Use for questions only about implementing the JavaScript portion. Questions related to Google Analytics data or usage should be submitted to https://webapps.stackexchange.com/
cube,"Cube or OLAP cube, is a method of storing data in a multidimensional form, generally for reporting purposes. In OLAP cubes, data (measures) are categorized by dimensions. OLAP cubes are often pre-summarized across dimensions to drastically improve query time over relational databases.  Used on the SQL server family of products. "
jasperserver,"JasperReports Server (formerly known as JasperServer) is a stand-alone and embeddable reporting server. Make sure your question also have the jasper-reports tag and add this tag only if the question is specifically related to JasperReports server (configuration, interface development, deployment etc. of server)"
symfony1,"The first version of symfony, a full stack MVC framework for PHP 5."
php-5.3,"PHP 5.3 (now past End of Life) is the successor to PHP 5.2. It was released on June 30, 2009. Use this tag for version-specific issues relating to specifically to PHP 5.3."
facebook-opengraph,"For programming questions about Facebook&#39;s Open Graph API, designed to integrate Web pages representing profiles of real-world things into the social graph"
custom-post-type,A Custom type of content to the Open Source CMS System WordPress.
image-uploading,The process of moving images or similar files from a client machine to a server for storage and possible later display.
docker-container,Docker Containers are the core of the docker platform in which programs and applications can be packaged and run in simulated environments. 
lldb,"LLDB is a debugger built as a set of reusable components which highly leverage existing libraries in the larger LLVM Project, such as the Clang expression parser and LLVM disassembler."
windows-phone-7.1,Windows Phone 7.1 is the version number of the OS and developer SDK for Windows Phone &quot;Codename Mango&quot;. Phones running this operating system are marketed as being &quot;Windows Phone 7.5&quot;.
dql,Doctrine Query Language (DQL) is an Object Query Language created for helping users in complex object retrieval.
identityserver4,OpenID Connect Provider and OAuth 2.0 Authorization Server Framework based on ASP.NET Core
laravel-artisan,"For programming questions about the Artisan Console, the command-line interface included with the Laravel PHP framework"
sharing,"Use tag &#39;share&#39; instead. Tag &#39;share&#39; is for questions about sharing resources in (local, and social) networks."
observablecollection,"ObservableCollection is a .NET collection class that sends event notifications when items are added, removed, replaced, moved, or reordered in the collection, or when the entire contents of the collection are replaced."
rollup,The ROLLUP operator is useful in generating reports that contain subtotals and totals. The ROLLUP operator generates a result set that is similar to the result sets generated by the CUBE operator
performancecounter,PerformanceCounters are indicators for how much work a program does.
webmethod,WebMethod is an attribute that is marked to indicate that a function (usually in .NET) in a web service is exposed to the consumers of the web service.
pull-request,"Pull requests are made when a developer forks a project, makes changes, and then wants those changes to be included in the main project again. These were made popular by Github and Bitbucket."
fpga,A Field-programmable Gate Array (FPGA) is a chip that is configured by the customer after manufacturing—hence &quot;field-programmable&quot;.
class-diagram,UML diagram describing object classes and relations among them.
amazon-cloudformation,"For questions about CloudFormation, part of the Amazon Web Services (AWS) that provides a way to manage a collection of related AWS resources."
infinite-loop,"An &quot;infinite loop&quot; is a loop in which the exit criteria are never satisfied; such a loop would perform a potentially infinite number of iterations of the loop body. The general problem of determining whether the execution of a loop with given preconditions will result in an infinite loop is undecidable; in other words, there is no algorithm to determine whether an execution of a loop will eventually terminate. This is known as the halting problem."
uilabel,"The UILabel class implements a read-only text view in iOS. You can use this class to draw one or multiple lines of static text, such as those you might use to identify other parts of your user interface. The base UILabel class provides support for both simple and complex styling of the label text. You can also control over aspects of appearance, such as whether the label uses a shadow or draws with a highlight."
avr,AVR refers to two families of either 8- or 32-bit RISC microcontrollers
bookmarklet,"A bookmarklet is a browser bookmark for a URL using the &#39;javascript:&#39; protocol. The &#39;javascript:&#39; prefix is followed by a snippet of JavaScript code. When invoked, instead of navigating to a new page, the script is executed within the context of the current page."
osmdroid,"osmdroid provides Tools / Views to interact with OpenStreetMap-Data, as a close to drop in replacement for the MapView class, with additions."
android-edittext,"The EditText is the standard text entry widget in Android apps. If the user needs to enter text into an app, this is the primary way for them to do that.
"
apache-beam,"Apache Beam is a unified SDK for batch and stream processing. It allows to specify large-scale data processing workflows with a Beam-specific DSL. Beam workflows can be executed on different runtimes like Apache Flink, Apache Spark, or Google Cloud Dataflow (a cloud service)."
flutter-dependencies,For questions relating to the use of and issues with any use of flutter-specific dependencies in dart&#39;s pubspec.yaml
automake,"Automake is a tool provided by GNU for the purpose of automating the generation of portable, configurable Makefiles."
double-quotes,Questions related to the use of double-quotes in different programming languages.
handlebars.js,Handlebars is a templating library for JavaScript.
virtualhost,"The term Virtual Host refers to the practice of running more than one web site (such as www.company1.com and www.company2.com) on a single machine. Virtual hosts can be &quot;IP-based&quot;, meaning that you have a different IP address for every web site, or &quot;name-based&quot;, meaning that you have multiple names running on each IP address. The fact that they are running on the same physical server is not apparent to the end user."
plesk,"Plesk (ex: Parallels Plesk Control Panel, Plesk Server Administrator, PSA, or just Plesk) software package is a commercial web hosting automation program."
angular-material,"Angular Material is an implementation of Material Design in Angular. Do not use this tag for AngularJS Material, the implementation of Material Design for the older AngularJS framework."
fpdf,A PHP class which allows developers to generate PDF files with pure PHP instead of the PDFlib library.
restructuredtext,reStructuredText is a lightweight markup language intended to be highly readable in source format.
roslyn,Roslyn (aka .NET Compiler Platform) provides open-source C# and Visual Basic compilers with rich code analysis APIs. It enables building code analysis tools with the same APIs that are used by Visual Studio.
informix,"Informix is an SQL-based object-relational, OLTP/OLAP, NoSQL DBMS produced by IBM.  This tag is appropriate for questions about any of the products with Informix in the product name."
mxml,MXML is an XML-based declarative language similar to CFML
nsdateformatter,"Class that creates string representations of NSDate (and NSCalendarDate) objects, and convert textual representations of dates and times into NSDate objects."
jsp-tags,JSP tags are a feature of Java Server Pages that allow the encapsulation of view-specific logic and separation of presentation and business concerns.
signals,"A signal is a notification to a process that an event occurred. Signals are sometimes described as software interrupts. Signals are analogous to hardware interrupts in that they interrupt the normal flow of execution of a program; in most cases, it is not possible to predict exactly when a signal will arrive. They are defined in the C standards and extended in POSIX, but many other programming languages/systems provide access to them as well."
multi-index,A multi-index (also known as a hierarchical index) allows the manipulation of higher-dimensional data in a 2-dimensional tabular structure.
attachment,"Any additional content added to a digital object, such as an email attachment."
binary-data,Binary-data is information stored using a two character alphabet (typically written using 0 and 1)
memorystream,"A memory stream is a kind of stream that has several methods to access and store data in memory.
"
elixir,"Elixir is an open-source, dynamic, compiled, general purpose functional programming language. It was designed to be fully compatible with the Erlang platform and is well suited to writing fault-tolerant, distributed applications with soft real-time guarantees and the ability for hot-code-swapping."
unique-ptr,"std::unique_ptr is a smart pointer that retains sole ownership of an object through a pointer. unique_ptr is not copyable or copy-assignable, two instances of unique_ptr cannot manage the same object."
html2canvas,html2canvas is a JavaScript HTML-rendering library that lets you take &quot;screenshots&quot; of webpages based on the DOM.
localhost,"In computer networking, localhost is the hostname given to the address of the loopback network interface. It is used by a host to access network services running on itself.
"
azure-virtual-network,"The Azure Virtual Network allows VPN access to Azure, as well as creating subnets for deploying services in Azure."
