,issue,output
ETD_TRYING_TO,"Question: """""" Hi, I'm trying to import my wallet. When i drag and drop my keystore file it flashes importing but nothing shows up in the mist wallet. Does it need my passcode or something else? I also sent Eth when my wallet wasnt synced. Will the transaction go throgh? """"""
Answer: ","The sentence """""" I'm trying to import my wallet """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES."
ETD_WANT_TO,"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer: ","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_NEED_TO,"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" I need to split the routed to component in half and put a nav bar in between it's two sections. """""" uses <pattern>need to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_SHOULD,"Question: """""" hey all i am using connect-multiparty package to handle file uploads but it's stated that i should remove temp files on the server? what exactly does that mean and how will i do it? arun-awnics: thank you yes i am looking at this package now and there's seems to be a lot of good comments about it. But for future reference do you know the answer to my questiona bout the server temp files? """"""
Answer: ","The sentence """""" but it's stated that i should remove temp files on the server? """""" uses <pattern>should VB</pattern> to describe the user's expectation. The answer is YES."
ETD_WOULD_BE,"Question: """""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp. Anyone could provide some guidance on how I could do this? """"""
Answer: ","The sentence """""" and during development I would be able to watch the folder and serve the webapp. """""" uses <pattern>would be ADJ to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_CAN_QUESTION,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""
Answer: ","The sentence """""" can I just provide a mock for the service itself so that I can focus on the actual component? """""" uses <pattern>can I VB</pattern> to describe the user's expectation. The answer is YES."
ETD_USED_TO,"Question: """""" Hello everyone! I've built an simple server-side only express API connected to MongoDB for an app. I'm creating the front end differently and using http GET to request information and so on to the server. Where can I host this express server for free for testing?? does heroku take server only files? """"""
Answer: ","The sentence """""" I'm creating the front end differently and using http GET to request information and so on to the server. """""" uses <pattern>using sth to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_IS_THERE_QUESTION,"Question: """""" Hi, is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs, as well as multiple outputs? I need to use a computation graph with several input and several output layers, but I can't figure out how to feed in the (csv) data """"""
Answer: ","The sentence """""" is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs """""" uses <pattern>is there a way to VB</pattern> to describe the user's expectation . The answer is YES."
ETD_WOULD_LIKE,"Question: """""" I'm creating a new platform on Ethereum. The issue I see arising is funding so I'm going to do an ICO. Since I am not reputable in the community, I would like to have a reputable developer advise for my project or perhaps work with me.  Any ideas of where to start or ask around? """""" 
Answer: ","The sentence """""" I would like to have a reputable developer advise for my project or perhaps work with me. """""" uses <pattern>would like to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_HAVE_TO,"Question: """""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """""" 
Answer: ","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to describe the user's expectation. The answer is YES."
ETD_BE_POSSIBLE_TO,"Question: """""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """""" 
Answer: ","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to describe the user's expectation. The answer is YES."
