Pattern,issue,output
PS_VERB_ERROR,"Question: """""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""
Answer: ","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES."
PS_NEG_ADV_ADJ,"Question: """""" Could anyone help me explain why the following code seems correct, though to me it seems like it's not? [<-CODE->] returning a string here compiles and runs though I tell it that it should be a void method SalathielGenese: that's exactly my point, the code is wrong but it doesn't give me an error to me it seems like a bug  """"""
Answer: ","The sentence """""" the code is wrong but it doesn't give me an error to me it seems like a bug """""" uses an undesired adjective <pattern>wrong</pattern> to indicate that there is something wrong with the code. The answer is YES."
PS_ONLY,"Question: """""" Does anyone know of a way to determine if a type could also refer to a value?  That is, if the type is of a Class, then do one conditional type branch, and if it is only an Interface or primitive then it will use the other branch. """"""
Answer: ","The sentence """""" and if it is only an Interface or primitive then it will use the other branch """""" uses <pattern>if it is only</pattern> to describe one condition of the example instead of describing the problem, so the answer is NO."
PS_NEG_VERB,"Question: """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""
Answer: ","The sentence """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? """""" uses an undesired verb phrase <pattern>breaking up sth</pattern> but ""breaking up a medium size component"" is the intention of the user, not the problem which the user is currently encountering, so the answer is NO."
PS_STRUGGLING,"Question: """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""
Answer: ","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES."
,"Question: """""" Is it possible te map users in docker-compose? I have a container that runs aswww-data and I'd like to map this user to my local user so the container can edit files in my workspace """"""
Answer: ",No sentences found to indicate the error or undesired behavior. The answer is NO.
PS_ERROR_NOUN_PHRASE,"Question: """""" Hi, I'm trying to get angular 11 working with webpack 5 so I can play around with module federation for micro-frontends. When I try to convert my main app over, I get an error when localhost tries to load the page from the main.ts file. Any ideas why it can't find this? It's in node modules ``` Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule (main.js:11) ``` """"""
Answer: ","The sentence """""" Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule """""" uses <pattern>Uncaught Error: [error message]</pattern> to indicate that there is something wrong ""when localhost tries to load the page from the main.ts file"". The answer is YES."
PS_NEG_AUX_VERB,"Question: """""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""
Answer: ","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES."
PS_NEG_ADV_ADJ,"Question: """""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""
Answer: ","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES."
PS_NEG_AUX_ADV_ADJ,"Question: """""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""
Answer: ","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""data variable"". The answer is YES."
PS_NEG_ADV_ADJ,"Question: """""" I am unable to align column using jspdf. Will you please guide what should I modify in this code?  """"""
Answer: ","The sentence """""" I am unable to align column using jspdf. """""" uses <pattern>be unable to VB</pattern> to indicate that the user is getting something wrong. The answer is YES."
PS_NEG_VERB,"Question: """""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""
Answer: ","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES."
