Pattern,issue,output,issue_n,output_n,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
ETD_TRYING_TO,"Question: """""" I once saw a microwave with a toaster built in. Like the downfall of all relational ORMs - trying to support them all is doing too much. okay, so it's a pretty terrible analogy, but even supporting all the different versions of a single db is maybe intractible when you write it like that is it actually a ""method"" vs a function property?  Is there a difference? """""" 
Answer: ","The sentence """""" trying to support them all is doing too much """""" uses <pattern>trying to VB</pattern> to describe the expectation of the user . The answer is YES.","Question: """""" Hi, I have LSTM model training it on aws GPU instances however the problem is when I use small dataset gpu utilize good but when data size gets bigger I see mostly 0% and some 70% when I run nvidia-smi, I am trying to understand the problem. do you have any idea@agibsonccc """""" 
Answer: ","The sentence """""" I am trying to understand the problem """""" uses <pattern>trying to VB</pattern> but ""understand the problem"" is too vague and does not imply the exact expectation of the user, so the answer is NO.",0,0,0,1,0,1,1,0
ETD_GOING_TO,"Question: """""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """""" 
Answer: ","The sentence """"""  I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" I'm excited to get the 4.2.0 gitter client (desktop linux). Is there `a planned release date? gitlab-org/gitter/desktop!217 was recently merged which replaced gitlab-org/gitter/desktop!215 and should resolve the core dump issue I'm having with the linux client. Or is the next release going to be 5.0.0? Sweet thanks """""" 
Answer: ","The sentence """"""  Or is the next release going to be 5.0.0? """""" uses <pattern>going to VB</pattern> but it has nothing to do with the expectation of the user, so the answer is NO.",1,0,0,0,1,0,1,1
ETD_CAN_QUESTION,"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" uses <pattern>how can I VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" hey - can i get some n00b help. I have the following message ""[ts] Cannot invoke an expression whose type lacks a call signature. Type 'Action<any, any>' has no compatible call signatures."" but cant wrap my head around whats going on """""" 
Answer: ","The sentence """""" can i get some n00b help. """""" uses <pattern>can I VB</pattern> but ""get some … help"" is too vague and does not imply the exact expectation of the user, so the answer is NO.",0,0,0,0,1,0,1,1
ETD_IMPLEMENT,"Question: """""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """""" 
Answer: ","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Hi Guys, I have deployed Angular6 prodution build in IIS, after that i am getting an error lazy load chunks failed in chrome browser, but if i do control f5 it is working Any idea why it is not loading initially """""" 
Answer: ","The sentence """""" I have deployed Angular6 prodution build in IIS """""" uses <pattern>build in sth</pattern> but here ""Angular6 prodution build"" is a noun phrase and it has nothing to do with the expectation of the user, so the answer is NO.",0,0,0,0,0,1,1,0
ETD_NEED_TO,"Question: """""" guys I have a local registry that is running in swarm mode at the moment it is not on my local machine but on one of the vm's. how to access it? Is there a way to force a service to stay on one node in swarm mode? Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. Can someone help with this? guys any idea how to setup EndPoint in dnsrr I get this errorport published with ingress mode can't be used with dnsrr modewhe try to deploy my stack. """""" 
Answer: ","The sentence """""" Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Anyone could help me understand why I still need to provide the service in app.component.ts even if it's already provided in app.module.ts? Because I'm encountering this issue on running a test Failed: No provider for PostService! """""" 
Answer: ","The sentence """""" Anyone could help me understand why I still need to provide the service in app.component.ts even if it's already provided in app.module.ts? """""" uses <pattern>need to VB</pattern> but this pattern is in the interrogative sentence which means that ""provide the service"" is not the expectation of the user, so the answer is NO.",0,0,0,1,0,1,1,1
ETD_HAVE_TO,"Question: """""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """""" 
Answer: ","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Hi guys, what do I have to do to tell TS that I got some global variable in window? I did install types by npm install --save-dev @types/jquery, editor guesses correctly that '$' is JqueryStatic, but compiler throws this error at me: [<-CODE->] What to do? I got type roots atnode_modules/@types """""" 
Answer: ","The sentence """""" what do I have to do to tell TS that I got some global variable in window? """""" uses <pattern>have to VB</pattern> but this pattern is in the Wh-question which means that it does not imply the expectation of the user, so the answer is NO.",0,0,0,0,1,0,1,1
ETD_FOR_EXAMPLE,"Question: """""" guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a compaonents needs result from resolverA; resolverA builds a query depending on a result from resolverB. """""" 
Answer: ","The sentence """""" e.g. a components needs result from resolverA; """""" uses an example start with <pattern>e.g. a NNS VBZ</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" 
Answer: ","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses an example <pattern>... saying that ... and others say ...</pattern> but this example has nothing to do with the expectation of the user, so the answer is NO.",0,0,0,0,0,1,0,1
ETD_LOOKING_TO,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """""" 
Answer: ","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Does anyone know why there is anngSubmitEventEmitter? When looking at the source ofngForm, it listens for a submit Event and then emits thengSubmitemitter. But I don't see any reason why there is a separate Event... """""" 
Answer: ","The sentence """""" When looking at the source ofngForm """""" uses <pattern>looking at sth.</pattern> but it has nothing to do with the expectation of the user, so the answer is NO.",0,0,1,0,1,0,0,1
ETD_WANT_TO,"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer: ","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """""" 
Answer: ","The sentence """""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """""" uses <pattern>want to VB</pattern> but this pattern is in the interrogative sentence which means that ""load references"" is not the expectation of the user, so the answer is NO.",0,1,1,0,0,1,0,0
ETD_HOPE,"Question: """""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """""" 
Answer: ","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to describe the expectation of the user. The answer is YES.","Question: """""" Hey everyone.  I have a short question about the code example from the CNN tutorial ( [<-LINK->] ). I had a look at the mnistdatafetcher. If I understand correctly it's fetching the image as float[]. Is it correct that the image is represented by a feature vector instead of a feature matrix? How do square kernels work on that? I guess I missed something somewhere. I hope you can help. """""" 
Answer: ","The sentence """""" I hope you can help. """""" uses <pattern>I hope ...</pattern> but ""you can help"" is too vague and does not imply the exact expectation of the user, so the answer is NO.",0,0,1,0,0,1,0,1
