issue,output
"Question: """""" I once saw a microwave with a toaster built in. Like the downfall of all relational ORMs - trying to support them all is doing too much. okay, so it's a pretty terrible analogy, but even supporting all the different versions of a single db is maybe intractible when you write it like that is it actually a ""method"" vs a function property?  Is there a difference? """""" 
Answer: ","The sentence """""" trying to support them all is doing too much """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """""" 
Answer: ","The sentence """"""  I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" uses <pattern>how can I VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """""" 
Answer: ","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" guys I have a local registry that is running in swarm mode at the moment it is not on my local machine but on one of the vm's. how to access it? Is there a way to force a service to stay on one node in swarm mode? Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. Can someone help with this? guys any idea how to setup EndPoint in dnsrr I get this errorport published with ingress mode can't be used with dnsrr modewhe try to deploy my stack. """""" 
Answer: ","The sentence """""" Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. """""" uses <pattern>need to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """""" 
Answer: ","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer: ","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" Hi, I have LSTM model training it on aws GPU instances however the problem is when I use small dataset gpu utilize good but when data size gets bigger I see mostly 0% and some 70% when I run nvidia-smi, I am trying to understand the problem. do you have any idea@agibsonccc """""" 
Answer: ","The sentence """""" I am trying to understand the problem """""" uses <pattern>trying to VB</pattern> but ""understand the problem"" is too vague and does not imply the exact user's expectation, so the answer is NO."
"Question: """""" Anyone could help me understand why I still need to provide the service in app.component.ts even if it's already provided in app.module.ts? Because I'm encountering this issue on running a test Failed: No provider for PostService! """""" 
Answer: ","The sentence """""" Anyone could help me understand why I still need to provide the service in app.component.ts even if it's already provided in app.module.ts? """""" uses <pattern>need to VB</pattern> but this pattern is in the interrogative sentence which means that ""provide the service"" is not the user's expectation, so the answer is NO."
"Question: """""" Hey everyone.  I have a short question about the code example from the CNN tutorial ( [<-LINK->] ). I had a look at the mnistdatafetcher. If I understand correctly it's fetching the image as float[]. Is it correct that the image is represented by a feature vector instead of a feature matrix? How do square kernels work on that? I guess I missed something somewhere. I hope you can help. """""" 
Answer: ","The sentence """""" I hope you can help. """""" uses <pattern>I hope ...</pattern> but ""you can help"" is too vague and does not imply the exact user's expectation, so the answer is NO."
