pattern,frequency,num_predicted_wrong
ETD_TRYING_TO,153,68
ETD_WANT_TO,99,15
ETD_SHOULD,79,26
ETD_NEED_TO,74,20
ETD_CAN_QUESTION,67,20
ETD_IS_THERE_QUESTION,53,14
ETD_WOULD_LIKE,34,10
ETD_BE_POSSIBLE_TO,34,3
ETD_USED_TO,32,5
ETD_HAVE_TO,30,7
ETD_WOULD_BE,26,5
ETD_LOOKING_TO,19,3
ETD_WORKING_ON,12,4
ETD_REQUIRES,12,4
ETD_INSTEAD_OF_EXP_BEHAVIOR,11,4
ETD_FOR_EXAMPLE,8,3
ETD_NORMALLY,7,2
ETD_MUST,5,3
ETD_EXPECTED,5,1
ETD_IMPLEMENT,4,0
ETD_ATTEMPT,2,0
ETD_GOING_TO,2,0
ETD_THINK_ABOUT,2,0
ETD_HOPE,2,0
ETD_WOULD_RATHER,2,0
ETD_MEAN,2,1
ETD_MAKE_SENSE,1,1
ETD_GOAL,1,0
ETD_PLAN,1,0
ETD_SUPPOSED_TO,1,0
ETD_LEARN,0,0
ETD_ACCORDING_TO_DOC,0,0
ETD_ENVISION,0,0
ETD_IN_ORDER_FOR,0,0
ETD_BETTER_TO,0,0
ETD_CONSIDER_ACTION,0,0
