pattern,frequency,num_predicted_wrong
PS_NEG_AUX_VERB,386,68
PS_VERB_ERROR,201,27
PS_PROBLEM,170,21
PS_NEG_ADV_ADJ,125,21
PS_ERROR_NOUN_PHRASE,122,4
PS_NEG_VERB,114,15
PS_NEG_AUX_ADV_ADJ,75,19
PS_ETD_TRY,65,13
PS_ONLY,39,13
PS_NO_NOUN,34,3
PS_PROBLEM_IS,31,9
PS_ERROR_OCCUR,26,6
PS_BUT_RB,13,1
PS_SEEMS_TO_NEG_VERB,12,6
PS_NOTICE,12,3
PS_VERB_NO,11,2
PS_VERB_TO_BE_NEGATIVE,7,1
PS_STRUGGLING,5,0
PS_TOO,5,1
PS_STUCK,5,0
PS_WITH_NO,4,1
PS_NO_LONGER,3,1
PS_NOT_IN,3,0
PS_IS_THIS_NEG,3,1
PS_END_UP,1,1
PS_TIME_LIMIT,1,0
PS_MAKE_NEG_ADV,0,0
PS_SURPRISED_THAT,0,0
PS_WHERE_SHOULD_NEG,0,0
PS_FIND_HARD,0,0
